Lauren Bacall
Kirk Douglas
Sophia Loren
Gong Li
Armin Mueller-Stahl
Brad Pitt
Woody Allen
Jennifer Aniston
Dan Aykroyd
Kevin Bacon
Drew Barrymore
Kim Basinger
Matthew Broderick
Pierce Brosnan
Sandra Bullock
Nicolas Cage
Neve Campbell
Jim Carrey
George Clooney
Tom Cruise
Jamie Lee Curtis
Claire Danes
Robert De Niro
Johnny Depp
Leonardo DiCaprio
Cameron Diaz
David Duchovny
Clint Eastwood
Erika Eleniak
Cary Elwes
Sherilyn Fenn
Colin Firth
Jodie Foster
Morgan Freeman
Richard Gere
Gina Gershon
Mel Gibson
Tom Hanks
Ethan Hawke
Salma Hayek
Dustin Hoffman
Anthony Hopkins
Helen Hunt
Elizabeth Hurley
Samuel L. Jackson
Milla Jovovich
Ashley Judd
Harvey Keitel
Nicole Kidman
Val Kilmer
Nastassja Kinski
Kevin Kline
Jude Law
Jennifer Lopez
Dolph Lundgren
Ewan McGregor
Julianne Moore
Bill Murray
Mike Myers
Al Pacino
Bill Paxton
Ryan Phillippe
Natalie Portman
Parker Posey
Julia Roberts
Mimi Rogers
Meg Ryan
Susan Sarandon
Arnold Schwarzenegger
Kristin Scott Thomas
Steven Seagal
Brooke Shields
Elisabeth Shue
Christian Slater
Will Smith
Mira Sorvino
Kevin Spacey
Sharon Stone
Charlize Theron
Uma Thurman
Jennifer Tilly
John Travolta
Liv Tyler
Jean-Claude Van Damme
Mark Wahlberg
Denzel Washington
Sigourney Weaver
Robin Williams
Bruce Willis
James Woods
Renée Zellweger
Ben Affleck
Jenny Agutter
Joan Allen
Karen Allen
Kirstie Alley
Pedro Almodóvar
Julie Andrews
Fanny Ardant
Alan Arkin
David Arquette
Sean Astin
Hank Azaria
Scott Baio
Brenda Bakke
Adam Baldwin
Alec Baldwin
Stephen Baldwin
William Baldwin
Christian Bale
Ellen Barkin
Angela Bassett
Sean Bean
Kate Beckinsale
Juliette Binoche
Thora Birch
Jacqueline Bisset
Brian Blessed
Ernest Borgnine
Bruce Boxleitner
Jeff Bridges
Yancy Butler
Gabriel Byrne
Emmanuelle Béart
Michael Caine
Barbara Carrera
Jackie Chan
Stockard Channing
Chevy Chase
Don Cheadle
Glenn Close
Rachael Leigh Cook
Billy Crystal
Macaulay Culkin
Joan Cusack
Beverly D'Angelo
Willem Dafoe
Matt Damon
Rebecca De Mornay
Danny DeVito
Julie Delpy
Catherine Deneuve
Gérard Depardieu
Laura Dern
Matt Dillon
Michael Dorn
Brad Dourif
Robert Downey Jr.
Richard Dreyfuss
Kirsten Dunst
Anthony Edwards
Robert Englund
Rupert Everett
Corey Feldman
Laurence Fishburne
Andy Garcia
Janeane Garofalo
Danny Glover
Valeria Golino
Cuba Gooding Jr.
John Goodman
Hugh Grant
Gene Hackman
Mark Hamill
Daryl Hannah
Woody Harrelson
Nina Hartley
Rutger Hauer
Glenne Headly
Lance Henriksen
Natasha Henstridge
Philip Seymour Hoffman
Ian Holm
Dennis Hopper
Holly Hunter
John Hurt
William Hurt
Timothy Hutton
Jeremy Irons
Kate Jackson
Ron Jeremy
Diane Keaton
Michael Keaton
Sally Kirkland
Christopher Lambert
Christopher Lee
John Leguizamo
Jennifer Jason Leigh
Robert Sean Leonard
Téa Leoni
Juliette Lewis
Matthew Lillard
Bai Ling
Ray Liotta
Christopher Lloyd
William H. Macy
Michael Madsen
Virginia Madsen
John Malkovich
Sophie Marceau
Heather Matarazzo
Samantha Mathis
Mathilda May
Debi Mazar
Andrew McCarthy
Malcolm McDowell
Colm Meaney
Bette Midler
Helen Mirren
Matthew Modine
Alfred Molina
Kate Mulgrew
Dermot Mulroney
Eddie Murphy
Liam Neeson
Sam Neill
Judd Nelson
Nick Nolte
Jeremy Northam
Chris O'Donnell
Gwyneth Paltrow
Mary-Louise Parker
Jason Patric
Sean Penn
Ron Perlman
Jada Pinkett Smith
Kelly Preston
Jonathan Pryce
Dennis Quaid
Robert Redford
Vanessa Redgrave
John C. Reilly
Jean Reno
Ving Rhames
Giovanni Ribisi
Denise Richards
Joely Richardson
John Ritter
Kurt Russell
Fred Savage
Greta Scacchi
Liev Schreiber
Martin Sheen
Gary Sinise
Marina Sirtis
Wesley Snipes
Paul Sorvino
Sissy Spacek
James Spader
David Strathairn
Meryl Streep
Kiefer Sutherland
Dominique Swain
Patrick Swayze
Fred Thompson
Billy Bob Thornton
Tamlyn Tomita
Robin Tunney
Deborah Kara Unger
Casper Van Dien
Vince Vaughn
Jon Voight
Christopher Walken
Sela Ward
Lesley Ann Warren
John Waters
Kate Winslet
Reese Witherspoon
Robin Wright
Michelle Yeoh
Sean Young
Billy Zane
Caroline Aaron
F. Murray Abraham
Jim Abrahams
Victoria Abril
Tim Allen
Theodoros Angelopoulos
Christina Applegate
Asia Argento
Tom Arnold
Daniel Auteuil
Mili Avital
Shabana Azmi
Amitabh Bachchan
Bob Balaban
Daniel Baldwin
Javier Bardem
Jean-Marc Barr
Kathy Bates
Patrick Bauchau
Nathalie Baye
Jennifer Beals
Meret Becker
Ed Begley Jr.
Harry Belafonte
Monica Bellucci
Annette Bening
Nigel Bennett
Helmut Berger
Patrick Bergin
Elizabeth Berkley
Steven Berkoff
Sandra Bernhard
Corbin Bernsen
Halle Berry
Theodore Bikel
Cate Blanchett
Brenda Blethyn
Peter Bogdanovich
Timothy Bottoms
Carole Bouquet
Sonia Braga
Nicoletta Braschi
Benjamin Bratt
Jim Broadbent
Jim Brown
Betty Buckley
Geneviève Bujold
Gary Busey
Dean Cain
Mariah Carey
David Carradine
Keith Carradine
Veronica Cartwright
Seymour Cassel
Jim Caviezel
Marilyn Chambers
Josh Charles
Joan Chen
Maggie Cheung
Julie Christie
